,Fecha,codigoSerial,pm2.5,calidad_pm2.5,pm10,calidad_pm10
43,2019-01-02 19:00:00,12,7.0,1.0,43.0,1.0
44,2019-01-02 20:00:00,12,13.0,1.0,57.0,1.0
45,2019-01-02 21:00:00,12,10.0,1.0,48.0,1.0
46,2019-01-02 22:00:00,12,6.0,2.1,45.0,1.0
47,2019-01-02 23:00:00,12,5.0,1.0,39.0,1.0
48,2019-01-03 00:00:00,12,12.0,1.0,44.0,1.0
49,2019-01-03 01:00:00,12,19.0,1.0,29.0,1.0
50,2019-01-03 02:00:00,12,9.0,2.1,24.0,1.0
51,2019-01-03 03:00:00,12,11.0,1.0,20.0,1.0
52,2019-01-03 04:00:00,12,8.0,2.1,20.0,1.0
53,2019-01-03 05:00:00,12,17.0,1.0,37.0,1.0
54,2019-01-03 06:00:00,12,27.0,1.0,60.0,1.0
55,2019-01-03 07:00:00,12,48.0,1.0,69.0,1.0
56,2019-01-03 08:00:00,12,39.0,1.0,79.0,1.0
57,2019-01-03 09:00:00,12,32.0,1.0,69.0,1.0
58,2019-01-03 10:00:00,12,31.0,1.0,53.0,1.0
59,2019-01-03 11:00:00,12,42.0,1.0,43.0,1.0
60,2019-01-03 12:00:00,12,28.0,1.0,59.0,1.0
61,2019-01-03 13:00:00,12,17.0,1.0,39.0,1.0
62,2019-01-03 14:00:00,12,15.0,1.0,26.0,1.0
63,2019-01-03 15:00:00,12,12.0,1.0,32.0,1.0
64,2019-01-03 16:00:00,12,12.0,1.0,24.0,1.0
65,2019-01-03 17:00:00,12,9.0,1.0,24.0,2.1
66,2019-01-03 18:00:00,12,6.0,1.0,25.0,1.0
67,2019-01-03 19:00:00,12,11.0,1.0,43.0,1.0
68,2019-01-03 20:00:00,12,19.0,1.0,49.0,1.0
69,2019-01-03 21:00:00,12,15.0,1.0,56.0,1.0
72,2019-01-04 00:00:00,12,8.0,1.0,28.0,1.0
73,2019-01-04 01:00:00,12,3.0,2.1,20.0,1.0
78,2019-01-04 06:00:00,12,40.0,1.0,78.0,1.0
79,2019-01-04 07:00:00,12,48.0,1.0,99.0,1.0
80,2019-01-04 08:00:00,12,49.0,1.0,90.0,1.0
81,2019-01-04 09:00:00,12,50.0,1.0,86.0,1.0
82,2019-01-04 10:00:00,12,28.0,1.0,44.0,1.0
83,2019-01-04 11:00:00,12,36.0,1.0,48.0,1.0
85,2019-01-04 13:00:00,12,7.0,2.1,28.0,1.0
87,2019-01-04 15:00:00,12,10.0,1.0,24.0,1.0
92,2019-01-04 20:00:00,12,11.0,1.0,56.0,1.0
93,2019-01-04 21:00:00,12,13.0,1.0,51.0,1.0
94,2019-01-04 22:00:00,12,29.0,1.0,52.0,1.0
95,2019-01-04 23:00:00,12,17.0,1.0,45.0,1.0
96,2019-01-05 00:00:00,12,16.0,1.0,41.0,1.0
97,2019-01-05 01:00:00,12,21.0,1.0,35.0,1.0
98,2019-01-05 02:00:00,12,18.0,1.0,38.0,1.0
99,2019-01-05 03:00:00,12,28.0,1.0,40.0,1.0
100,2019-01-05 04:00:00,12,12.0,1.0,38.0,1.0
101,2019-01-05 05:00:00,12,14.0,1.0,42.0,1.0
102,2019-01-05 06:00:00,12,27.0,1.0,48.0,1.0
103,2019-01-05 07:00:00,12,30.0,1.0,50.0,1.0
104,2019-01-05 08:00:00,12,45.0,1.0,76.0,1.0
105,2019-01-05 09:00:00,12,46.0,1.0,83.0,1.0
107,2019-01-05 11:00:00,12,48.0,1.0,65.0,1.0
108,2019-01-05 12:00:00,12,60.0,1.0,72.0,1.0
109,2019-01-05 13:00:00,12,37.0,1.0,64.0,1.0
110,2019-01-05 14:00:00,12,24.0,1.0,50.0,1.0
112,2019-01-05 16:00:00,12,31.0,2.3,57.0,2.3
113,2019-01-05 17:00:00,12,29.0,2.3,70.0,2.3
117,2019-01-05 21:00:00,12,31.0,1.0,50.0,1.0
118,2019-01-05 22:00:00,12,31.0,1.0,52.0,1.0
119,2019-01-05 23:00:00,12,30.0,1.0,39.0,1.0
120,2019-01-06 00:00:00,12,18.0,1.0,36.0,1.0
121,2019-01-06 01:00:00,12,27.0,1.0,38.0,1.0
122,2019-01-06 02:00:00,12,17.0,1.0,37.0,1.0
123,2019-01-06 03:00:00,12,25.0,1.0,41.0,1.0
124,2019-01-06 04:00:00,12,21.0,1.0,35.0,1.0
125,2019-01-06 05:00:00,12,27.0,1.0,37.0,1.0
126,2019-01-06 06:00:00,12,32.0,1.0,45.0,1.0
127,2019-01-06 07:00:00,12,33.0,1.0,50.0,1.0
128,2019-01-06 08:00:00,12,32.0,1.0,41.0,1.0
129,2019-01-06 09:00:00,12,35.0,1.0,41.0,1.0
130,2019-01-06 10:00:00,12,31.0,1.0,42.0,1.0
131,2019-01-06 11:00:00,12,28.0,1.0,39.0,1.0
133,2019-01-06 13:00:00,12,48.0,1.0,66.0,1.0
134,2019-01-06 14:00:00,12,41.0,1.0,48.0,1.0
135,2019-01-06 15:00:00,12,36.0,1.0,46.0,1.0
136,2019-01-06 16:00:00,12,22.0,1.0,49.0,1.0
137,2019-01-06 17:00:00,12,28.0,1.0,58.0,1.0
138,2019-01-06 18:00:00,12,18.0,1.0,50.0,1.0
139,2019-01-06 19:00:00,12,18.0,1.0,41.0,1.0
140,2019-01-06 20:00:00,12,14.0,1.0,24.0,2.1
141,2019-01-06 21:00:00,12,12.0,1.0,20.0,2.1
142,2019-01-06 22:00:00,12,7.0,2.1,12.0,2.1
143,2019-01-06 23:00:00,12,10.0,1.0,32.0,1.0
144,2019-01-07 00:00:00,12,22.0,1.0,35.0,1.0
145,2019-01-07 01:00:00,12,29.0,1.0,37.0,1.0
146,2019-01-07 02:00:00,12,24.0,1.0,37.0,1.0
147,2019-01-07 03:00:00,12,25.0,1.0,38.0,1.0
148,2019-01-07 04:00:00,12,21.0,1.0,37.0,1.0
149,2019-01-07 05:00:00,12,19.0,1.0,32.0,1.0
150,2019-01-07 06:00:00,12,24.0,1.0,39.0,1.0
151,2019-01-07 07:00:00,12,27.0,1.0,55.0,1.0
152,2019-01-07 08:00:00,12,32.0,1.0,52.0,1.0
153,2019-01-07 09:00:00,12,21.0,1.0,42.0,1.0
154,2019-01-07 10:00:00,12,29.0,1.0,44.0,1.0
155,2019-01-07 11:00:00,12,26.0,1.0,40.0,1.0
156,2019-01-07 12:00:00,12,48.0,1.0,54.0,1.0
157,2019-01-07 13:00:00,12,35.0,1.0,51.0,1.0
158,2019-01-07 14:00:00,12,31.0,1.0,40.0,1.0
159,2019-01-07 15:00:00,12,23.0,1.0,47.0,1.0
160,2019-01-07 16:00:00,12,12.0,1.0,24.0,1.0
161,2019-01-07 17:00:00,12,13.0,1.0,30.0,1.0
162,2019-01-07 18:00:00,12,16.0,1.0,42.0,1.0
163,2019-01-07 19:00:00,12,16.0,1.0,41.0,1.0
164,2019-01-07 20:00:00,12,24.0,1.0,31.0,1.0
165,2019-01-07 21:00:00,12,12.0,1.0,44.0,1.0
166,2019-01-07 22:00:00,12,15.0,1.0,38.0,1.0
167,2019-01-07 23:00:00,12,16.0,1.0,37.0,1.0
168,2019-01-08 00:00:00,12,17.0,1.0,38.0,1.0
169,2019-01-08 01:00:00,12,23.0,1.0,45.0,1.0
170,2019-01-08 02:00:00,12,17.0,1.0,34.0,1.0
171,2019-01-08 03:00:00,12,16.0,1.0,37.0,1.0
172,2019-01-08 04:00:00,12,17.0,1.0,34.0,1.0
173,2019-01-08 05:00:00,12,25.0,1.0,42.0,1.0
174,2019-01-08 06:00:00,12,27.0,1.0,64.0,1.0
175,2019-01-08 07:00:00,12,38.0,1.0,66.0,1.0
176,2019-01-08 08:00:00,12,44.0,1.0,65.0,1.0
177,2019-01-08 09:00:00,12,31.0,1.0,75.0,1.0
178,2019-01-08 10:00:00,12,30.0,1.0,54.0,1.0
180,2019-01-08 12:00:00,12,42.0,1.0,49.0,1.0
181,2019-01-08 13:00:00,12,32.0,1.0,62.0,1.0
182,2019-01-08 14:00:00,12,27.0,1.0,47.0,1.0
183,2019-01-08 15:00:00,12,28.0,1.0,53.0,1.0
184,2019-01-08 16:00:00,12,27.0,1.0,71.0,1.0
185,2019-01-08 17:00:00,12,25.0,1.0,56.0,1.0
186,2019-01-08 18:00:00,12,16.0,1.0,49.0,1.0
187,2019-01-08 19:00:00,12,21.0,1.0,34.0,1.0
188,2019-01-08 20:00:00,12,16.0,1.0,32.0,1.0
189,2019-01-08 21:00:00,12,4.0,2.1,29.0,1.0
190,2019-01-08 22:00:00,12,9.0,1.0,26.0,1.0
191,2019-01-08 23:00:00,12,11.0,1.0,24.0,1.0
192,2019-01-09 00:00:00,12,10.0,1.0,13.0,2.1
193,2019-01-09 01:00:00,12,11.0,1.0,18.0,2.1
194,2019-01-09 02:00:00,12,17.0,1.0,29.0,1.0
195,2019-01-09 03:00:00,12,18.0,1.0,34.0,1.0
196,2019-01-09 04:00:00,12,20.0,1.0,27.0,1.0
197,2019-01-09 05:00:00,12,16.0,1.0,27.0,1.0
198,2019-01-09 06:00:00,12,26.0,1.0,35.0,1.0
199,2019-01-09 07:00:00,12,23.0,1.0,33.0,2.1
200,2019-01-09 08:00:00,12,21.0,1.0,45.0,1.0
